Icon	Name	Ore Synthesizer 1	Workshop Restoration 1	Guild Enhancement: Critical Harvesting	Cloth Synthesizer 1	Leather Synthesizer 1	Lumber Synthesizer 1	Guild Enhancement: Critical Crafting	Synthesis Output 1	Guild Enhancement: Map Bonus	Ore Synthesizer 2	Cloth Synthesizer 2	Leather Synthesizer 2	Lumber Synthesizer 2	Plant Synthesizers 1	Synthesis Output 2	Ore Synthesizer 3	Workshop Restoration 2	Cloth Synthesizer 3	Leather Synthesizer 3	Lumber Synthesizer 3	Ore Synthesizer 4	Plant Synthesizers 2	Cloth Synthesizer 4	Leather Synthesizer 4	Lumber Synthesizer 4	Synthesis Output 3	Ore Synthesizer 5	Cloth Synthesizer 5	Leather Synthesizer 5	Lumber Synthesizer 5	Plant Synthesizers 3	Ore Synthesizer 6	Synthesis Output 4	Arena Restoration 1	Mission Slot: PvP	Guild Enhancement: PvP Reward Boost	Arena Restoration 2	Brawling Obstacles: Walls	Brawling Obstacle: Weakness Turrets	Brawling Obstacle: Strike Turrets	Arena Brawling: Green Team	Brawling Obstacle: Team-Color Torches	Brawling Obstacle: Vortex Traps	Brawling Obstacle: Fear Turrets	Arena Ring-Out Barrier	Brawling Obstacle: Knockback Turrets	Brawling Obstacle: Fan Traps	Arena Brawling: Free-for-All Fighters	Brawling Obstacle: Purple Torches	Brawling Obstacle: Chill Turrets	Brawling Obstacle: Poison Turrets	Brawling Obstacle: Flame Turrets	Brawling Obstacle: Cripple Turrets	Brawling Obstacle: Heal Turrets	Arena Brawling: Invulnerable Fighters	Brawling Obstacle: White Torches	Brawling Obstacle: Lava Floors	Market Restoration 1	Mission Slot: PvE	Guild Hall Decorations Merchant 1	Guild Trader 1	Guild Armorer 1	Guild Weaponsmith 1	Guild Enhancement: Magic Find	Guild Trader 2	Guild Miniature Merchant 1	Guild Treasure Trove	Guild Hall Decorations Merchant 2	Market Restoration 2	Guild Hall Monument Decorations	Guild Trader 3	Guild Miniature Merchant 2	Guild Armorer 2	Guild Trader 4	Deep Cave	Schematic: Vault Transport	Guild Hall Decorations Merchant 3	Guild Miniature Merchant 3	Guild Trader 5	Guild Weaponsmith 2	Aetherium Capacity 1	Mine Excavation 1	Mining Rate 1	Aetherium Capacity 2	Mining Rate 2	Aetherium Capacity 3	Mine Excavation 2	Mining Rate 3	Aetherium Capacity 4	Mining Rate 4	Aetherium Capacity 5	Mine Excavation 3	Mining Rate 5	Aetherium Capacity 6	Mining Rate 6	Guild Enhancement: Experience	Guild Enhancement: Karma	Tavern Restoration 1	Scribing: Guild Gathering Bonus Banner	Scribing: Guild Karma Banner	Scribing: Guild Experience Banner	Guild Hall Music: City Themes	Guild Hall Music: Super Adventure Box	Guild Hall Swiftness +11%	Scribing: Guild Magic Find Banner	Guild Waypoint 5% Discount	Scribing: Guild Road Marker	Scribing: Guild Gold from Kills Banner	Guild Anthems	Super Guild Anthem	Tavern Restoration 2	Guild Hall Swiftness +22%	Scribing: Guild Banquet	Scribing: Guild Karma and Experience Banner	Guild Waypoint 10% Discount	Scribing: Guild Gold and Magic Find Banner	Scribing: Guild Gathering and Swiftness Banner	Scribing: Guild World Events	Guild Hall Swiftness +33%	Scribing: Guild Heroes Banner	Guild Waypoint 15% Discount	Mission Slot: WvW	War Room Restoration 1	Scribing: Minor Supply Drop	Scribing: Sabotage Depot	WvW Guild Claiming: Camps	Objective Aura 1: Supply Capacity	Guild Enhancement: World Reward Tracks	Scribing: Chilling Fog	Scribing: Armored Dolyaks	Objective Aura 2: WvW Experience	Scribing: Guild Arrow Cart	WvW Guild Claiming: Towers	Scribing: Invincible Dolyak	Scribing: Hardened Gates	Scribing: Guild Ballista	Guild Enhancement: World Experience	Scribing: Speedy Dolyaks	Scribing: Iron Guards	Objective Aura 3: Movement Speed	Scribing: Turtle Banner	Scribing: Guild Catapult	Scribing: Assault Roller	War Room Restoration 2	Objective Aura 4: Power	Scribing: Hardened Siege	WvW Guild Claiming: Keeps	Scribing: Centaur Banner	Scribing: Packed Dolyaks	Objective Aura 5: Precision	Scribing: Guild Flame Ram	Scribing: Dragon Banner	Scribing: Invulnerable Fortifications	Objective Aura 6: Toughness	Scribing: Guild Trebuchet	Scribing: Emergency Waypoint	WvW Guild Claiming: Stonemist Castle	Scribing: Turret Gates	Objective Aura 7: Vitality	Scribing: Guild Siege Golem	Scribing: Watchtower	Scribing: Presence of the Keep	Objective Aura 8: Magic Find	Scribing: Guild Shield Generator	Scribing: Cloaking Waters	Scribing: Airship Defense
=IMAGE("https://wiki.guildwars2.com/images/thumb/7/78/Copper_Ore.png/40px-Copper_Ore.png")	Copper Ore	=IF(D1=TRUE;200;)																																																																																																																																																																					
=IMAGE("https://wiki.guildwars2.com/images/thumb/8/87/Iron_Ore.png/40px-Iron_Ore.png")	Iron Ore	=IF(D1=TRUE;200;)									=IF(M1=TRUE;200;)																																																																																																																																																												
=IMAGE("https://wiki.guildwars2.com/images/thumb/9/9b/Glob_of_Ectoplasm.png/40px-Glob_of_Ectoplasm.png")	Glob of Ectoplasm	=IF(D1=TRUE;25;)			=IF(G1=TRUE;50;)	=IF(H1=TRUE;50;)	=IF(I1=TRUE;50;)	=IF(J1=TRUE;30;)	=IF(K1=TRUE;125;)		=IF(M1=TRUE;50;)	=IF(N1=TRUE;5;)	=IF(O1=TRUE;5;)	=IF(P1=TRUE;5;)	=IF(Q1=TRUE;35;)	=IF(R1=TRUE;125;)	=IF(S1=TRUE;50;)		=IF(U1=TRUE;15;)	=IF(V1=TRUE;15;)	=IF(W1=TRUE;15;)	=IF(X1=TRUE;75;)	=IF(Y1=TRUE;75;)	=IF(Z1=TRUE;25;)	=IF(AA1=TRUE;25;)	=IF(AB1=TRUE;25;)	=IF(AC1=TRUE;125;)	=IF(AD1=TRUE;75;)	=IF(AE1=TRUE;10;)	=IF(AF1=TRUE;10;)	=IF(AG1=TRUE;10;)	=IF(AH1=TRUE;75;)	=IF(AI1=TRUE;10;)	=IF(AJ1=TRUE;125;)	=IF(AK1=TRUE;35;)	=IF(AL1=TRUE;25;)		=IF(AN1=TRUE;200;)						=IF(AT1=TRUE;30;)		=IF(AV1=TRUE;45;)													=IF(BI1=TRUE;35;)	=IF(BJ1=TRUE;25;)		=IF(BL1=TRUE;50;)				=IF(BP1=TRUE;70;)				=IF(BT1=TRUE;200;)		=IF(BV1=TRUE;100;)			=IF(BY1=TRUE;100;)					=IF(CD1=TRUE;100;)																				=IF(CX1=TRUE;10;)	=IF(CY1=TRUE;20;)	=IF(CZ1=TRUE;20;)	=IF(DA1=TRUE;30;)			=IF(DD1=TRUE;5;)		=IF(DF1=TRUE;10;)	=IF(DG1=TRUE;15;)					=IF(DL1=TRUE;5;)	=IF(DM1=TRUE;10;)		=IF(DO1=TRUE;10;)	=IF(DP1=TRUE;10;)					=IF(DU1=TRUE;25;)	=IF(DV1=TRUE;35;)	=IF(DW1=TRUE;20;)	=IF(DX1=TRUE;10;)				=IF(EB1=TRUE;10;)	=IF(EC1=TRUE;10;)				=IF(EG1=TRUE;10;)	=IF(EH1=TRUE;10;)			=IF(EK1=TRUE;10;)	=IF(EL1=TRUE;10;)		=IF(EN1=TRUE;10;)		=IF(EP1=TRUE;10;)	=IF(EQ1=TRUE;200;)		=IF(ES1=TRUE;15;)		=IF(EU1=TRUE;10;)	=IF(EV1=TRUE;5;)			=IF(EY1=TRUE;25;)	=IF(EZ1=TRUE;10;)			=IF(FC1=TRUE;10;)		=IF(FE1=TRUE;10;)			=IF(FH1=TRUE;5;)	=IF(FI1=TRUE;10;)			=IF(FL1=TRUE;30;)	=IF(FM1=TRUE;10;)
=IMAGE("https://wiki.guildwars2.com/images/thumb/8/81/Amber_Pebble.png/40px-Amber_Pebble.png")	Amber Pebble	=IF(D1=TRUE;50;)																																																																																																																																																																					
=IMAGE("https://wiki.guildwars2.com/images/thumb/a/ac/Garnet_Pebble.png/40px-Garnet_Pebble.png")	Garnet Pebble	=IF(D1=TRUE;50;)																																																																																																																																																																					
=IMAGE("https://wiki.guildwars2.com/images/thumb/6/6b/Malachite_Pebble.png/40px-Malachite_Pebble.png")	Malachite Pebble	=IF(D1=TRUE;50;)																																																																																																																																																																					
=IMAGE("https://wiki.guildwars2.com/images/thumb/1/10/Tiger%27s_Eye_Pebble.png/40px-Tiger%27s_Eye_Pebble.png")	Tiger's Eye Pebble	=IF(D1=TRUE;50;)																																																																																																																																																																					
=IMAGE("https://wiki.guildwars2.com/images/thumb/0/07/Turquoise_Pebble.png/40px-Turquoise_Pebble.png")	Turquoise Pebble	=IF(D1=TRUE;50;)																																																																																																																																																																					
=IMAGE("https://wiki.guildwars2.com/images/thumb/7/73/Pearl.png/40px-Pearl.png")	Pearl	=IF(D1=TRUE;50;)																																																							=IF(BG1=TRUE;100;)																																																																																																														
=IMAGE("https://wiki.guildwars2.com/images/thumb/2/2d/Empyreal_Star.png/40px-Empyreal_Star.png")	Empyreal Star	=IF(D1=TRUE;5;)			=IF(G1=TRUE;5;)	=IF(H1=TRUE;5;)	=IF(I1=TRUE;5;)					=IF(N1=TRUE;5;)	=IF(O1=TRUE;5;)	=IF(P1=TRUE;5;)	=IF(Q1=TRUE;5;)				=IF(U1=TRUE;5;)	=IF(V1=TRUE;5;)	=IF(W1=TRUE;5;)	=IF(X1=TRUE;5;)	=IF(Y1=TRUE;5;)	=IF(Z1=TRUE;5;)	=IF(AA1=TRUE;5;)	=IF(AB1=TRUE;5;)		=IF(AD1=TRUE;5;)	=IF(AE1=TRUE;5;)	=IF(AF1=TRUE;5;)	=IF(AG1=TRUE;5;)	=IF(AH1=TRUE;5;)	=IF(AI1=TRUE;5;)																																																																																																																																						
